,RA,ML,ACC,TL,STE07,STE09,STE08,STE13
0,2011,2011,2012,2012,2012,2012,2012,2011
1,2011,2007,2012,2012,2012,2012,2012,2011
2,2010,2007,2012,2012,2012,2012,2012,2011
3,2011,2007,2012,2012,2012,2012,2012,2011
4,2011,2008,2012,2012,2012,2012,2012,2010
5,2011,2008,2012,2012,2012,2012,2012,2011
6,2010,2007,2012,2012,2012,2012,2012,2011
7,2011,2007,2012,2012,2012,2012,2012,2011
8,2011,2007,2012,2012,2012,2012,2012,2011
9,2011,2007,2012,2012,2012,2012,2012,2011
10,2011,2008,2012,2012,2012,2012,2012,2011
11,2011,2007,2012,2012,2012,2012,2012,2011
12,2011,2007,2012,2012,2012,2012,2012,2011
13,2011,2007,2012,2012,2012,2012,2012,2011
14,2011,2007,2012,2012,2012,2012,2012,2011
15,2011,2008,2012,2012,2012,2012,2012,2012
16,2011,2007,2012,2012,2012,2012,2012,2010
17,2011,2007,2012,2012,2012,2012,2012,2010
18,2011,2007,2012,2012,2012,2012,2012,2010
19,2011,2009,2012,2012,2012,2012,2012,2011
20,2011,2008,2012,2012,2012,2012,2012,2011
21,2011,2007,2012,2012,2012,2012,2012,2011
22,2011,2007,2012,2012,2012,2012,2012,2011
23,2011,2007,2012,2012,2012,2012,2012,2011
24,2011,2007,2012,2012,2012,2012,2012,2011
25,2011,2007,2012,2012,2012,2012,2012,2011
26,2011,2007,2012,2012,2012,2012,2012,2011
27,2011,2007,2012,2012,2012,2012,2012,2009
28,2011,2008,2012,2012,2012,2012,2012,2011
29,2011,2007,2012,2012,2012,2012,2012,2011
30,2011,2008,2012,2012,2012,2012,2012,2011
31,2011,2008,2012,2012,2012,2012,2012,2011
32,2011,2009,2012,2012,2012,2012,2012,2011
33,2011,2009,2012,2012,2012,2012,2012,2011
34,2011,2011,2012,2012,2012,2012,2012,2011
35,2011,2007,2012,2012,2012,2012,2012,2011
36,2011,2007,2012,2012,2012,2012,2012,2011
37,2011,2007,2012,2012,2012,2012,2012,2011
38,2010,2008,2012,2012,2012,2012,2012,2011
39,2011,2007,2012,2012,2012,2012,2012,2011
40,2011,2007,2012,2012,2012,2012,2012,2012
41,2011,2009,2012,2012,2012,2012,2012,2011
42,2011,2007,2012,2012,2012,2012,2012,2011
43,2011,2007,2012,2012,2012,2012,2012,2011
44,2011,2007,2012,2012,2012,2012,2012,2011
45,2011,2007,2012,2012,2012,2012,2012,2011
46,2010,2009,2012,2012,2012,2012,2012,2011
47,2011,2008,2012,2012,2012,2012,2012,2010
48,2011,2008,2012,2012,2012,2012,2012,2011
49,2011,2007,2012,2012,2012,2012,2012,2011
50,2011,2007,2012,2012,2012,2012,2012,2011
51,2011,2011,2012,2012,2012,2012,2012,2011
52,2011,2011,2012,2012,2012,2012,2012,2011
53,2011,2007,2012,2012,2012,2012,2012,2011
54,2011,2007,2012,2012,2012,2012,2012,2011
55,2011,2007,2012,2012,2012,2012,2012,2011
56,2011,2009,2012,2012,2012,2012,2012,2011
57,2011,2007,2012,2012,2012,2012,2012,2012
58,2011,2007,2012,2012,2012,2012,2012,2011
59,2011,2007,2012,2012,2012,2012,2012,2011
60,2011,2007,2012,2012,2012,2012,2012,2011
61,2011,2007,2012,2012,2012,2012,2012,2011
62,2011,2007,2012,2012,2012,2012,2012,2011
63,2011,2007,2012,2012,2012,2012,2012,2012
64,2010,2007,2012,2012,2012,2012,2012,2010
65,2011,2007,2012,2012,2012,2012,2012,2010
66,2011,2007,2012,2012,2012,2012,2012,2011
67,2011,2007,2012,2012,2012,2012,2012,2011
68,2011,2007,2012,2012,2012,2012,2012,2011
69,2011,2007,2012,2012,2012,2012,2012,2011
70,2011,2007,2012,2012,2012,2012,2012,2011
71,2010,2007,2012,2012,2012,2012,2012,2011
72,2010,2007,2012,2012,2012,2012,2012,2011
73,2011,2007,2012,2012,2012,2012,2012,2011
74,2011,2007,2012,2012,2012,2012,2012,2011
75,2011,2008,2012,2012,2012,2012,2012,2011
76,2011,2007,2012,2012,2012,2012,2012,2011
77,2011,2007,2012,2012,2012,2012,2012,2011
78,2011,2007,2012,2012,2012,2012,2012,2011
79,2011,2008,2012,2012,2012,2012,2012,2011
80,2011,2008,2012,2012,2012,2012,2012,2011
81,2010,2007,2012,2012,2012,2012,2012,2010
82,2010,2007,2012,2012,2012,2012,2012,2010
83,2011,2007,2012,2012,2012,2012,2012,2011
84,2010,2007,2012,2012,2012,2012,2012,2012
85,2011,2007,2012,2012,2012,2012,2012,2011
86,2011,2007,2012,2012,2012,2012,2012,2011
87,2011,2007,2012,2012,2012,2012,2012,2011
88,2011,2007,2012,2012,2012,2012,2012,2011
89,2011,2007,2012,2012,2012,2012,2012,2011
90,2011,2007,2012,2012,2012,2012,2012,2011
91,2011,2008,2012,2012,2012,2012,2012,2011
92,2011,2007,2012,2012,2012,2012,2012,2011
93,2011,2007,2012,2012,2012,2012,2012,2011
94,2011,2007,2012,2012,2012,2012,2012,2010
95,2010,2008,2012,2012,2012,2012,2012,2011
96,2011,2008,2012,2012,2012,2012,2012,2011
97,2011,2007,2012,2012,2012,2012,2012,2011
98,2011,2007,2012,2012,2012,2012,2012,2011
99,2011,2007,2012,2012,2012,2012,2012,2011
