,RA,ML,ACC,TL,STE07,STE09,STE08,STE13
0,2011,2007,2012,2012,2012,2012,2012,2012
1,2011,2007,2012,2012,2012,2012,2012,2012
2,2011,2007,2012,2012,2012,2012,2012,2012
3,2011,2007,2012,2012,2012,2012,2012,2012
4,2011,2007,2012,2012,2012,2012,2012,2012
5,2011,2007,2012,2012,2012,2012,2012,2012
6,2011,2007,2012,2012,2012,2012,2012,2012
7,2011,2007,2012,2012,2012,2012,2012,2012
8,2011,2007,2012,2012,2012,2012,2012,2012
9,2011,2007,2012,2012,2012,2012,2012,2012
10,2011,2007,2012,2012,2012,2012,2012,2012
11,2011,2007,2012,2012,2012,2012,2012,2012
12,2012,2007,2012,2012,2012,2012,2012,2012
13,2011,2007,2012,2012,2012,2012,2012,2012
14,2012,2007,2012,2012,2012,2012,2012,2012
15,2012,2007,2012,2012,2012,2012,2012,2012
16,2011,2007,2012,2012,2012,2012,2012,2012
17,2012,2007,2012,2012,2012,2012,2012,2012
18,2011,2007,2012,2012,2012,2012,2012,2012
19,2011,2007,2012,2012,2012,2012,2012,2012
20,2011,2007,2012,2012,2012,2012,2012,2012
21,2011,2007,2012,2012,2012,2012,2012,2012
22,2011,2007,2012,2012,2012,2012,2012,2012
23,2012,2007,2012,2012,2012,2012,2012,2012
24,2011,2007,2012,2012,2012,2012,2012,2012
25,2011,2007,2012,2012,2012,2012,2012,2012
26,2011,2007,2012,2012,2012,2012,2012,2012
27,2011,2007,2012,2012,2012,2012,2012,2012
28,2011,2007,2012,2012,2012,2012,2012,2012
29,2011,2007,2012,2012,2012,2012,2012,2012
30,2011,2007,2012,2012,2012,2012,2012,2012
31,2011,2007,2012,2012,2012,2012,2012,2012
32,2011,2007,2012,2012,2012,2012,2012,2012
33,2011,2007,2012,2012,2012,2012,2012,2012
34,2011,2007,2012,2012,2012,2012,2012,2012
35,2011,2007,2012,2012,2012,2012,2012,2012
36,2012,2007,2012,2012,2012,2012,2012,2012
37,2011,2007,2012,2012,2012,2012,2012,2012
38,2011,2007,2012,2012,2012,2012,2012,2012
39,2011,2007,2012,2012,2012,2012,2012,2012
40,2011,2007,2012,2012,2012,2012,2012,2012
41,2012,2007,2012,2012,2012,2012,2012,2012
42,2011,2007,2012,2012,2012,2012,2012,2012
43,2011,2007,2012,2012,2012,2012,2012,2012
44,2011,2007,2012,2012,2012,2012,2012,2012
45,2011,2007,2012,2012,2012,2012,2012,2012
46,2011,2007,2012,2012,2012,2012,2012,2012
47,2012,2007,2012,2012,2012,2012,2012,2012
48,2011,2007,2012,2012,2012,2012,2012,2012
49,2011,2007,2012,2012,2012,2012,2012,2012
50,2011,2007,2012,2012,2012,2012,2012,2012
51,2011,2007,2012,2012,2012,2012,2012,2012
52,2011,2007,2012,2012,2012,2012,2012,2012
53,2011,2007,2012,2012,2012,2012,2012,2012
54,2011,2007,2012,2012,2012,2012,2012,2012
55,2011,2007,2012,2012,2012,2012,2012,2012
56,2011,2007,2012,2012,2012,2012,2012,2012
57,2011,2007,2012,2012,2012,2012,2012,2012
58,2011,2007,2012,2012,2012,2012,2012,2012
59,2011,2007,2012,2012,2012,2012,2012,2012
60,2011,2007,2012,2012,2012,2012,2012,2012
61,2011,2007,2012,2012,2012,2012,2012,2012
62,2011,2007,2012,2012,2012,2012,2012,2012
63,2011,2007,2012,2012,2012,2012,2012,2012
64,2011,2007,2012,2012,2012,2012,2012,2012
65,2011,2007,2012,2012,2012,2012,2012,2012
66,2011,2007,2012,2012,2012,2012,2012,2012
67,2012,2007,2012,2012,2012,2012,2012,2012
68,2011,2007,2012,2012,2012,2012,2012,2012
69,2011,2007,2012,2012,2012,2012,2012,2012
70,2011,2007,2012,2012,2012,2012,2012,2012
71,2011,2007,2012,2012,2012,2012,2012,2012
72,2011,2007,2012,2012,2012,2012,2012,2012
73,2011,2007,2012,2012,2012,2012,2012,2012
74,2011,2007,2012,2012,2012,2012,2012,2012
75,2011,2007,2012,2012,2012,2012,2012,2012
76,2011,2007,2012,2012,2012,2012,2012,2012
77,2011,2008,2012,2012,2012,2012,2012,2012
78,2011,2009,2012,2012,2012,2012,2012,2012
79,2011,2009,2012,2012,2012,2012,2012,2012
80,2011,2009,2012,2012,2012,2012,2012,2012
81,2011,2009,2012,2012,2012,2012,2012,2012
82,2011,2009,2012,2012,2012,2012,2012,2012
83,2011,2009,2012,2012,2012,2012,2012,2012
84,2011,2009,2012,2012,2012,2012,2012,2012
85,2011,2009,2012,2012,2012,2012,2012,2012
86,2012,2009,2012,2012,2012,2012,2012,2012
87,2011,2009,2012,2012,2012,2012,2012,2012
88,2012,2009,2012,2012,2012,2012,2012,2012
89,2011,2009,2012,2012,2012,2012,2012,2012
90,2011,2009,2012,2012,2012,2012,2012,2012
91,2011,2009,2012,2012,2012,2012,2012,2012
92,2011,2009,2012,2012,2012,2012,2012,2012
93,2011,2009,2012,2012,2012,2012,2012,2012
94,2011,2009,2012,2012,2012,2012,2012,2012
95,2012,2009,2012,2012,2012,2012,2012,2012
96,2011,2009,2012,2012,2012,2012,2012,2012
97,2012,2009,2012,2012,2012,2012,2012,2012
98,2012,2009,2012,2012,2012,2012,2012,2012
99,2011,2009,2012,2012,2012,2012,2012,2012
