,RA,ML,ACC,TL,STE07,STE09,STE08,STE13
0,2012,2012,2012,2012,2012,2007,2012,2012
1,2012,2010,2012,2012,2012,2012,2012,2012
2,2012,2012,2012,2012,2012,2007,2012,2012
3,2012,2012,2012,2012,2012,2007,2012,2012
4,2012,2012,2012,2012,2012,2012,2012,2012
5,2012,2010,2012,2012,2012,2012,2012,2012
6,2012,2012,2012,2012,2012,2007,2012,2012
7,2012,2010,2012,2012,2012,2012,2012,2012
8,2012,2012,2012,2012,2012,2007,2012,2012
9,2012,2012,2012,2012,2012,2007,2012,2012
10,2012,2012,2012,2012,2012,2012,2012,2012
11,2012,2012,2012,2012,2012,2012,2012,2012
12,2012,2012,2012,2012,2012,2007,2012,2012
13,2012,2012,2012,2012,2012,2012,2012,2012
14,2012,2010,2012,2012,2012,2012,2012,2012
15,2012,2010,2012,2012,2012,2007,2012,2012
16,2012,2012,2012,2012,2012,2007,2012,2012
17,2012,2010,2012,2012,2012,2012,2012,2012
18,2012,2012,2012,2012,2012,2007,2012,2012
19,2012,2012,2012,2012,2012,2012,2012,2012
20,2012,2012,2012,2012,2012,2007,2012,2012
21,2012,2010,2012,2012,2012,2007,2012,2012
22,2012,2010,2012,2012,2012,2007,2012,2012
23,2012,2010,2012,2012,2012,2007,2012,2012
24,2012,2010,2012,2012,2012,2007,2012,2012
25,2012,2012,2012,2012,2012,2012,2012,2012
26,2012,2012,2012,2012,2012,2012,2012,2012
27,2012,2012,2012,2012,2012,2007,2012,2012
28,2012,2010,2012,2012,2012,2007,2012,2012
29,2012,2012,2012,2012,2012,2012,2012,2012
30,2012,2010,2012,2012,2012,2007,2012,2012
31,2012,2012,2012,2012,2012,2012,2012,2012
32,2012,2012,2012,2012,2012,2007,2012,2012
33,2012,2010,2012,2012,2012,2012,2012,2012
34,2012,2012,2012,2012,2012,2012,2012,2012
35,2012,2010,2012,2012,2012,2012,2012,2012
36,2012,2012,2012,2012,2012,2007,2012,2012
37,2012,2012,2012,2012,2012,2012,2012,2012
38,2012,2012,2012,2012,2012,2007,2012,2012
39,2012,2012,2012,2012,2012,2012,2012,2012
40,2012,2010,2012,2012,2012,2012,2012,2012
41,2012,2012,2012,2012,2012,2007,2012,2012
42,2012,2012,2012,2012,2012,2012,2012,2012
43,2012,2012,2012,2012,2012,2012,2012,2012
44,2012,2010,2012,2012,2012,2012,2012,2012
45,2012,2010,2012,2012,2012,2012,2012,2012
46,2012,2012,2012,2012,2012,2007,2012,2012
47,2012,2010,2012,2012,2012,2007,2012,2012
48,2012,2010,2012,2012,2012,2007,2012,2012
49,2012,2012,2012,2012,2012,2007,2012,2012
50,2012,2010,2012,2012,2012,2012,2012,2012
51,2012,2010,2012,2012,2012,2012,2012,2012
52,2012,2010,2012,2012,2012,2007,2012,2012
53,2012,2012,2012,2012,2012,2012,2012,2012
54,2012,2012,2012,2012,2012,2012,2012,2012
55,2012,2010,2012,2012,2012,2007,2012,2012
56,2012,2012,2012,2012,2012,2012,2012,2012
57,2012,2010,2012,2012,2012,2007,2012,2012
58,2012,2012,2012,2012,2012,2012,2012,2012
59,2012,2010,2012,2012,2012,2007,2012,2012
60,2012,2012,2012,2012,2012,2007,2012,2012
61,2012,2010,2012,2012,2012,2012,2012,2012
62,2012,2012,2012,2012,2012,2012,2012,2012
63,2012,2012,2012,2012,2012,2012,2012,2012
64,2012,2012,2012,2012,2012,2007,2012,2012
65,2012,2012,2012,2012,2012,2012,2012,2012
66,2012,2010,2012,2012,2012,2012,2012,2012
67,2012,2012,2012,2012,2012,2007,2012,2012
68,2012,2010,2012,2012,2012,2012,2012,2012
69,2012,2012,2012,2012,2012,2007,2012,2012
70,2012,2012,2012,2012,2012,2007,2012,2012
71,2012,2012,2012,2012,2012,2012,2012,2012
72,2012,2012,2012,2012,2012,2012,2012,2012
73,2012,2010,2012,2012,2012,2007,2012,2012
74,2012,2012,2012,2012,2012,2012,2012,2012
75,2012,2012,2012,2012,2012,2012,2012,2012
76,2012,2010,2012,2012,2012,2007,2012,2012
77,2012,2010,2012,2012,2012,2007,2012,2012
78,2012,2010,2012,2012,2012,2012,2012,2012
79,2012,2012,2012,2012,2012,2012,2012,2012
80,2012,2012,2012,2012,2012,2012,2012,2012
81,2012,2010,2012,2012,2012,2007,2012,2012
82,2012,2010,2012,2012,2012,2007,2012,2012
83,2012,2012,2012,2012,2012,2012,2012,2012
84,2012,2010,2012,2012,2012,2012,2012,2012
85,2012,2010,2012,2012,2012,2007,2012,2012
86,2012,2010,2012,2012,2012,2012,2012,2012
87,2012,2012,2012,2012,2012,2007,2012,2012
88,2012,2012,2012,2012,2012,2007,2012,2012
89,2012,2012,2012,2012,2012,2012,2012,2012
90,2012,2012,2012,2012,2012,2012,2012,2012
91,2012,2010,2012,2012,2012,2012,2012,2012
92,2012,2012,2012,2012,2012,2012,2012,2012
93,2012,2010,2012,2012,2012,2012,2012,2012
94,2012,2012,2012,2012,2012,2012,2012,2012
95,2012,2010,2012,2012,2012,2012,2012,2012
96,2012,2012,2012,2012,2012,2012,2012,2012
97,2012,2012,2012,2012,2012,2007,2012,2012
98,2012,2012,2012,2012,2012,2007,2012,2012
99,2012,2010,2012,2012,2012,2012,2012,2012
