,RA,ML,ACC,TL,STE07,STE09,STE08,STE13
0,2010,2007,2012,2012,2012,2012,2012,2012
1,2010,2007,2012,2012,2012,2012,2012,2012
2,2010,2007,2012,2012,2012,2012,2012,2012
3,2010,2007,2012,2012,2012,2012,2012,2012
4,2008,2007,2012,2012,2012,2012,2012,2012
5,2010,2007,2012,2012,2012,2012,2012,2012
6,2010,2007,2012,2012,2012,2012,2012,2012
7,2010,2007,2012,2012,2012,2012,2012,2012
8,2010,2007,2012,2012,2012,2012,2012,2012
9,2010,2007,2012,2012,2012,2012,2012,2012
10,2010,2007,2012,2012,2012,2012,2012,2012
11,2010,2007,2012,2012,2012,2012,2012,2012
12,2010,2007,2012,2012,2012,2012,2012,2012
13,2010,2007,2012,2012,2012,2012,2012,2012
14,2010,2007,2012,2012,2012,2012,2012,2012
15,2010,2007,2012,2012,2012,2012,2012,2012
16,2010,2007,2012,2012,2012,2012,2012,2012
17,2010,2007,2012,2012,2012,2012,2012,2012
18,2010,2007,2012,2012,2012,2012,2012,2012
19,2010,2007,2012,2012,2012,2012,2012,2012
20,2010,2007,2012,2012,2012,2012,2012,2012
21,2010,2007,2012,2012,2012,2012,2012,2012
22,2010,2007,2012,2012,2012,2012,2012,2012
23,2010,2007,2012,2012,2012,2012,2012,2012
24,2010,2007,2012,2012,2012,2012,2012,2012
25,2010,2007,2012,2012,2012,2012,2012,2012
26,2010,2007,2012,2012,2012,2012,2012,2012
27,2010,2007,2012,2012,2012,2012,2012,2012
28,2010,2007,2012,2012,2012,2012,2012,2012
29,2010,2007,2012,2012,2012,2012,2012,2012
30,2010,2007,2012,2012,2012,2012,2012,2012
31,2010,2007,2012,2012,2012,2012,2012,2012
32,2010,2007,2012,2012,2012,2012,2012,2012
33,2010,2007,2012,2012,2012,2012,2012,2012
34,2010,2007,2012,2012,2012,2012,2012,2012
35,2010,2007,2012,2012,2012,2012,2012,2012
36,2010,2007,2012,2012,2012,2012,2012,2012
37,2010,2007,2012,2012,2012,2012,2012,2012
38,2010,2007,2012,2012,2012,2012,2012,2012
39,2010,2007,2012,2012,2012,2012,2012,2012
40,2010,2007,2012,2012,2012,2012,2012,2012
41,2010,2007,2012,2012,2012,2012,2012,2012
42,2010,2007,2012,2012,2012,2012,2012,2012
43,2010,2007,2012,2012,2012,2012,2012,2012
44,2012,2007,2012,2012,2012,2012,2012,2012
45,2010,2007,2012,2012,2012,2012,2012,2012
46,2010,2007,2012,2012,2012,2012,2012,2012
47,2010,2007,2012,2012,2012,2012,2012,2012
48,2010,2007,2012,2012,2012,2012,2012,2012
49,2010,2007,2012,2012,2012,2012,2012,2012
50,2010,2007,2012,2012,2012,2012,2012,2012
51,2010,2007,2012,2012,2012,2012,2012,2012
52,2010,2007,2012,2012,2012,2012,2012,2012
53,2010,2007,2012,2012,2012,2012,2012,2012
54,2010,2007,2012,2012,2012,2012,2012,2012
55,2010,2007,2012,2012,2012,2012,2012,2012
56,2010,2007,2012,2012,2012,2012,2012,2012
57,2010,2007,2012,2012,2012,2012,2012,2012
58,2010,2007,2012,2012,2012,2012,2012,2012
59,2010,2007,2012,2012,2012,2012,2012,2012
60,2010,2007,2012,2012,2012,2012,2012,2012
61,2010,2007,2012,2012,2012,2012,2012,2012
62,2008,2007,2012,2012,2012,2012,2012,2012
63,2010,2007,2012,2012,2012,2012,2012,2012
64,2010,2007,2012,2012,2012,2012,2012,2012
65,2010,2007,2012,2012,2012,2012,2012,2012
66,2010,2007,2012,2012,2012,2012,2012,2012
67,2010,2007,2012,2012,2012,2012,2012,2012
68,2010,2007,2012,2012,2012,2012,2012,2012
69,2010,2007,2012,2012,2012,2012,2012,2012
70,2010,2007,2012,2012,2012,2012,2012,2012
71,2010,2007,2012,2012,2012,2012,2012,2012
72,2010,2007,2012,2012,2012,2012,2012,2012
73,2010,2007,2012,2012,2012,2012,2012,2012
74,2010,2007,2012,2012,2012,2012,2012,2012
75,2010,2007,2012,2012,2012,2012,2012,2012
76,2010,2007,2012,2012,2012,2012,2012,2012
77,2010,2007,2012,2012,2012,2012,2012,2012
78,2010,2007,2012,2012,2012,2012,2012,2012
79,2010,2007,2012,2012,2012,2012,2012,2012
80,2010,2007,2012,2012,2012,2012,2012,2012
81,2010,2007,2012,2012,2012,2012,2012,2012
82,2010,2007,2012,2012,2012,2012,2012,2012
83,2010,2007,2012,2012,2012,2012,2012,2012
84,2010,2007,2012,2012,2012,2012,2012,2012
85,2010,2007,2012,2012,2012,2012,2012,2012
86,2010,2007,2012,2012,2012,2012,2012,2012
87,2010,2007,2012,2012,2012,2012,2012,2012
88,2010,2007,2012,2012,2012,2012,2012,2012
89,2010,2007,2012,2012,2012,2012,2012,2012
90,2009,2007,2012,2012,2012,2012,2012,2012
91,2010,2007,2012,2012,2012,2012,2012,2012
92,2010,2007,2012,2012,2012,2012,2012,2012
93,2010,2007,2012,2012,2012,2012,2012,2012
94,2010,2007,2012,2012,2012,2012,2012,2012
95,2010,2007,2012,2012,2012,2012,2012,2012
96,2010,2007,2012,2012,2012,2012,2012,2012
97,2010,2007,2012,2012,2012,2012,2012,2012
98,2010,2007,2012,2012,2012,2012,2012,2012
99,2010,2007,2012,2012,2012,2012,2012,2012
