,Year,RA,ML,ACC,TL,STE07,STE09,STE08,STE13
0,2007,0.019726858877086494,2952,3316.0,0.02411086694076392,0.019726858877086695,0.005569754987888587,0.020164766813851376,-0.03308769153278668
1,2008,0.019595448798988623,2780,3220.0,0.022746950482258832,0.018401711148702926,0.009857316413789619,0.01959544879898867,-0.02604951549812995
2,2009,0.014144877839691384,2724,3332.0,0.021383034023753744,0.017076563420319157,0.01414487783969065,0.01902613078412596,-0.01901133946347322
3,2010,0.025510204081632654,2676,3256.0,0.020019117565248656,0.01575141569193539,0.018432439265589906,0.018456812769263253,-0.011973163428814715
4,2011,0.02710333145115754,2708,3136.0,0.01865520110674357,0.01442626796355162,0.022720000691490938,0.017887494754400546,-0.004934987394157986
5,2012,0.02700756211739287,2620,3028.0,0.01729128464823848,0.013101120235167851,0.02700756211739197,0.017318176739537616,0.002103188640498743
6,2013,0.009141364675155077,2732,2880.0,0.015927368189733393,0.011775972506784083,0.031295123543293,0.01674885872467491,0.009141364675155472
7,2014,0.016179540709812108,2572,2824.0,0.01456345173122875,0.010450824778400314,0.03558268496919226,0.0161795407098122,0.0161795407098122
8,2015,0.021300702469975074,2664,2684.0,0.013199535272723661,0.009125677050016545,0.03987024639509329,0.015610222694949494,0.02321771674446893
9,2016,0.00780052932163254,2652,2540.0,0.011835618814218574,0.0078005293216327765,0.04415780782099432,0.015040904680086564,0.030255892779127436
10,2017,0.0075168254523206015,2608,2392.0,0.010471702355713486,0.006475381593249008,0.04844536924689358,0.014471586665223857,0.037294068813784165
11,2018,0.0051230649292794295,2648,2248.0,0.009107785897208398,0.005150233864865239,0.05273293067279461,0.01390226865036115,0.044332244848440894
12,2019,0.005699481865284974,2572,2036.0,0.00774386943870331,0.0038250861364814703,0.05702049209869564,0.013332950635498442,0.05137042088309762
13,2020,0.005660004826360704,2644,1688.0,0.0063799529801982224,0.0024999384080977016,0.0613080535245949,0.012763632620635734,0.05840859691775435
14,2021,0.006941978552659612,2800,1052.0,0.005016036521693135,0.001174790679713933,0.06559561495049593,0.012194314605772805,0.06544677295241108
