,Year,RA,ML,ACC,TL,STE07,STE09,STE08,STE13
0,2007,0.0015174506828528073,2120,2256.0,0.014310723541801629,,,,
1,2008,0.01643489254108723,1828,2252.0,0.01346089177244636,,,,
2,2009,0.014144877839691384,1852,2216.0,0.012611060003091312,,,,
3,2010,0.013450834879406308,1872,2112.0,0.011761228233736043,,,,
4,2011,0.012422360248447204,1768,2028.0,0.010911396464380996,,,,
5,2012,0.020885848037450486,1756,1976.0,0.010061564695025726,,,,
6,2013,0.010773751224289911,1564,1848.0,0.00921173292567068,,,,
7,2014,0.008872651356993737,1532,1780.0,0.00836190115631541,,,,
8,2015,0.010197144799456152,1668,1680.0,0.007512069386960363,,,,
9,2016,0.003064493662069926,1580,1556.0,0.0066622376176050935,,,,
10,2017,0.003146578096320252,1512,1472.0,0.005812405848250046,,,,
11,2018,0.0025615324646397148,1620,1340.0,0.004962574078894777,,,,
12,2019,0.0014853195164075993,1548,1176.0,0.00411274230953973,,,,
13,2020,0.0031151964548186825,1524,1032.0,0.0032629105401844605,,,,
14,2021,0.0033555855407996593,1692,564.0,0.0024130787708294132,,,,
