,Year,RA,ML,ACC,TL,STE07,STE09,STE08,STE13
0,2007,0.0030349013657056147,1548,1592.0,0.008951349815925269,0.003034901365705611,0.005569754987888587,0.006069829598290499,0.07186488065175212
1,2008,0.006321112515802781,1488,1584.0,0.008497791695204815,0.0031155756022226144,0.009857316413789619,0.006321112515802807,0.06271687056162634
2,2009,0.007286755250750107,1528,1548.0,0.008044233574484472,0.00319624983873959,0.01414487783969065,0.006572395433315115,0.05356886047150056
3,2010,0.004174397031539889,1532,1504.0,0.0075906754537641286,0.003276924075256593,0.018432439265589906,0.006823678350827533,0.04442085038137833
4,2011,0.00564652738565782,1496,1488.0,0.007137117333043785,0.0033575983117735964,0.022720000691490938,0.007074961268339841,0.03527284029125255
5,2012,0.018725243068059057,1556,1472.0,0.006683559212323442,0.003438272548290572,0.02700756211739197,0.007326244185852149,0.02612483020112677
6,2013,0.016976820111002284,1468,1312.0,0.006230001091603099,0.003518946784807575,0.031295123543293,0.0075775271033645675,0.01697682011100099
7,2014,0.007828810020876827,1488,1148.0,0.005776442970882756,0.0035996210213245505,0.03558268496919226,0.007828810020876875,0.00782881002087521
8,2015,0.003399048266485384,1488,1048.0,0.005322884850162302,0.0036802952578415538,0.03987024639509329,0.008080092938389183,-0.00131920006925057
9,2016,0.0037609694943585457,1412,1000.0,0.0048693267294419584,0.003760969494358557,0.04415780782099432,0.00833137585590149,-0.01046721015937635
10,2017,0.0024473385193601958,1428,932.0,0.004415768608721615,0.0038416437308755325,0.04844536924689358,0.00858265877341391,-0.01961522024950213
11,2018,0.0020046775810223854,1396,864.0,0.003962210488001272,0.003922317967392536,0.05273293067279461,0.008833941690926217,-0.02876323033962791
12,2019,0.0015889464594127808,1356,768.0,0.003508652367280929,0.004002992203909511,0.05702049209869564,0.009085224608438525,-0.03791124042975369
13,2020,0.0017111642498299805,1332,612.0,0.0030550942465605857,0.004083666440426514,0.0613080535245949,0.009336507525950943,-0.04705925051987947
14,2021,0.001739933243377601,1368,348.0,0.0026015361258402425,0.004164340676943518,0.06559561495049593,0.009587790443463251,-0.0562072606100017
