latitude,longitude,scientificname,occurrenceRemarks,Year
39.4965, -122.9395,Adalia bipunctata,Note,2007
48.495464, -118.523636,Adalia bipunctata,Note,2007
48.6482183, -118.7378,Adalia bipunctata,Note,2007
47.633114, -115.084463,Adalia bipunctata,Note,2007
52.322, -112.883,Adalia bipunctata,Note,2007
52.321998596191406, -112.88300323486328,Adalia bipunctata,Note,2007
58.77000045776367, -93.83999633789062,Adalia bipunctata,Note,2007
58.77, -93.84,Adalia bipunctata,Note,2007
58.769, -94.172,Adalia bipunctata,Note,2007
49.04, -113.91,Adalia bipunctata,Note,2008
49.045, -113.913,Adalia bipunctata,Note,2008
49.040000915527344, -113.91000366210938,Adalia bipunctata,Note,2008
58.738, -93.819,Adalia bipunctata,Note,2008
58.619998931884766, -93.81999969482422,Adalia bipunctata,Note,2008
58.73799896240234, -93.81900024414062,Adalia bipunctata,Note,2008
58.62, -93.82,Adalia bipunctata,Note,2008
48.6482183, -118.7378,Adalia bipunctata,Note,2008
48.495464, -118.523636,Adalia bipunctata,Note,2008
44.0, -104.0,Adalia bipunctata,Note,2008
49.05, -113.91,Adalia bipunctata,Note,2008
34.811, -119.1285,Adalia bipunctata,Note,2008
49.04999923706055, -113.91000366210938,Adalia bipunctata,Note,2008
34.8558, -119.1428,Adalia bipunctata,Note,2008
34.816, -119.1061,Adalia bipunctata,Note,2008
35.1879, -118.6367,Adalia bipunctata,Note,2008
39.7615758, -104.87625,Adalia bipunctata,Note,2008
39.6535988, -105.19109,Adalia bipunctata,Note,2008
39.7391536, -104.9847,Adalia bipunctata,Note,2009
43.613739, -116.23765,Adalia bipunctata,Note,2009
39.7615758, -104.87625,Adalia bipunctata,Note,2009
39.8366528, -105.0372,Adalia bipunctata,Note,2009
40.0149856, -105.27054,Adalia bipunctata,Note,2009
49.8008345061, -99.6344756708,Adalia bipunctata,Note,2009
49.485634, -113.9366,Adalia bipunctata,Note,2009
53.3, -113.31,Adalia bipunctata,Note,2009
58.72999954223633, -93.80999755859376,Adalia bipunctata,Note,2009
40.397761, -105.07498,Adalia bipunctata,Note,2009
38.865444, -104.748828,Adalia bipunctata,Note,2009
58.73, -93.81,Adalia bipunctata,Note,2009
52.67, -117.88,Adalia bipunctata,Note,2010
43.8955436, -103.41824,Adalia bipunctata,Note,2010
52.65999984741211, -117.87999725341795,Adalia bipunctata,Note,2010
52.321998596191406, -112.88300323486328,Adalia bipunctata,Note,2010
51.0452194, -114.06301,Adalia bipunctata,Note,2010
39.755267, -104.89358,Adalia bipunctata,Note,2010
39.755292, -104.89342,Adalia bipunctata,Note,2010
58.619998931884766, -94.2300033569336,Adalia bipunctata,Note,2010
40.3083174, -105.08109,Adalia bipunctata,Note,2010
58.7599983215332, -94.16999816894533,Adalia bipunctata,Note,2010
40.1672068, -105.10192,Adalia bipunctata,Note,2010
39.9570441, -105.1594,Adalia bipunctata,Note,2010
58.755, -93.915,Adalia bipunctata,Note,2010
58.62, -94.23,Adalia bipunctata,Note,2010
39.7391536, -104.9847,Adalia bipunctata,Note,2010
58.76, -94.17,Adalia bipunctata,Note,2010
46.459999084472656, -80.95999908447266,Adalia bipunctata,Note,2010
52.66999816894531, -117.87999725341795,Adalia bipunctata,Note,2010
58.728, -93.792,Adalia bipunctata,Note,2010
58.663, -94.166,Adalia bipunctata,Note,2010
52.665, -117.883,Adalia bipunctata,Note,2010
52.322, -112.883,Adalia bipunctata,Note,2010
47.31722, -114.35694,Adalia bipunctata,Note,2010
47.311611, -114.34098,Adalia bipunctata,Note,2010
52.66, -117.88,Adalia bipunctata,Note,2010
51.0906604878, -114.2127605089,Adalia bipunctata,Note,2010
53.3648978, -107.51767,Adalia bipunctata,Note,2010
42.1887721, -120.34579,Adalia bipunctata,Note,2010
48.6490562, -118.73943,Adalia bipunctata,Note,2010
34.942, -111.752,Adalia bipunctata,Note,2010
47.705915, -116.92147,Adalia bipunctata,Note,2010
47.7179578, -116.95158,Adalia bipunctata,Note,2010
43.474131, -111.872559,Adalia bipunctata,Note,2010
42.174344, -112.410452,Adalia bipunctata,Note,2010
48.495464, -118.523636,Adalia bipunctata,Note,2010
46.46, -80.96,Adalia bipunctata,Note,2010
42.5338019, -114.36475,Adalia bipunctata,Note,2011
36.5172125, -121.9358,Adalia bipunctata,Note,2011
42.9440784, -112.83832,Adalia bipunctata,Note,2011
42.5744589, -114.44593,Adalia bipunctata,Note,2011
40.612365, -120.720234,Adalia bipunctata,Note,2011
40.202, -105.116,Adalia bipunctata,Note,2011
47.3116667, -114.34111,Adalia bipunctata,Note,2011
46.6730557, -120.85648,Adalia bipunctata,Note,2011
47.7065023, -117.41391,Adalia bipunctata,Note,2011
46.3218917, -117.97576,Adalia bipunctata,Note,2011
53.01, -114.5,Adalia bipunctata,Note,2011
53.5648978, -107.31767,Adalia bipunctata,Note,2011
53.5, -107.3,Adalia bipunctata,Note,2011
53.366499, -107.51721,Adalia bipunctata,Note,2011
56.2220189, -117.29376,Adalia bipunctata,Note,2011
51.045, -114.05722,Adalia bipunctata,Note,2011
53.798429, -113.64301,Adalia bipunctata,Note,2011
53.523319, -113.30875,Adalia bipunctata,Note,2011
53.0099983215332, -114.5,Adalia bipunctata,Note,2011
54.174063, -114.05193,Adalia bipunctata,Note,2011
54.35, -113.91666,Adalia bipunctata,Note,2011
49.0, -97.2,Adalia bipunctata,Note,2011
48.4380509, -89.215935,Adalia bipunctata,Note,2011
48.415802, -89.2673,Adalia bipunctata,Note,2011
42.00074, -120.2918,Adalia bipunctata,Note,2012
42.5629668, -114.46087,Adalia bipunctata,Note,2012
42.5338019, -114.36475,Adalia bipunctata,Note,2012
42.5744589, -114.44593,Adalia bipunctata,Note,2012
49.6755147, -112.87597,Adalia bipunctata,Note,2012
51.045113, -114.05714,Adalia bipunctata,Note,2012
53.560001373291016, -112.83999633789062,Adalia bipunctata,Note,2012
49.09999847412109, -113.80999755859376,Adalia bipunctata,Note,2012
49.106, -113.819,Adalia bipunctata,Note,2012
49.1, -113.81,Adalia bipunctata,Note,2012
53.56, -112.84,Adalia bipunctata,Note,2012
