latitude,longitude,scientificname,occurrenceRemarks,Year
37.344996, -108.28924,Coccinella transversoguttata,Note,2007
43.845921, -112.43499,Coccinella transversoguttata,Note,2008
43.8413696, -112.44107,Coccinella transversoguttata,Note,2008
44.0340614, -107.4492,Coccinella transversoguttata,Note,2008
41.6663692, -105.69111,Coccinella transversoguttata,Note,2008
44.4469399, -110.36401,Coccinella transversoguttata,Note,2008
43.8204843, -112.4388,Coccinella transversoguttata,Note,2008
44.0, -104.0,Coccinella transversoguttata,Note,2008
39.5500507, -105.78206,Coccinella transversoguttata,Note,2008
38.9797141, -105.35749,Coccinella transversoguttata,Note,2009
48.495464, -118.523636,Coccinella transversoguttata,Note,2009
43.613739, -116.23765,Coccinella transversoguttata,Note,2009
39.0916586, -104.87275,Coccinella transversoguttata,Note,2009
48.6490562, -118.73943,Coccinella transversoguttata,Note,2009
42.1887721, -120.34579,Coccinella transversoguttata,Note,2009
38.54582, -106.92532,Coccinella transversoguttata,Note,2009
40.087268591, -108.2076874998,Coccinella transversoguttata,Note,2010
42.1887721, -120.34579,Coccinella transversoguttata,Note,2010
43.4799291, -110.76242,Coccinella transversoguttata,Note,2010
38.7334177, -105.28192,Coccinella transversoguttata,Note,2011
43.6365693, -113.30028,Coccinella transversoguttata,Note,2011
37.4034666667, -105.5389333333,Coccinella transversoguttata,Note,2011
43.0246696, -108.38131,Coccinella transversoguttata,Note,2011
44.6248198149, -110.4332596634,Coccinella transversoguttata,Note,2011
37.3635404, -118.39511,Coccinella transversoguttata,Note,2012
42.248246, -113.56139,Coccinella transversoguttata,Note,2012
43.5932699, -116.287,Coccinella transversoguttata,Note,2012
43.6365693, -113.30028,Coccinella transversoguttata,Note,2012
43.3058077, -114.06606,Coccinella transversoguttata,Note,2012
42.9360165, -114.40587,Coccinella transversoguttata,Note,2012
44.1151717, -115.97095,Coccinella transversoguttata,Note,2012
43.643679, -116.419,Coccinella transversoguttata,Note,2012
40.0891304, -109.67736,Coccinella transversoguttata,Note,2012
42.43919, -114.3085,Coccinella transversoguttata,Note,2012
44.0809804, -115.61867,Coccinella transversoguttata,Note,2012
43.1562183, -114.34012,Coccinella transversoguttata,Note,2012
44.0956545, -115.61871,Coccinella transversoguttata,Note,2012
42.0854723, -113.5634,Coccinella transversoguttata,Note,2012
41.3113669, -105.5911,Coccinella transversoguttata,Note,2012
41.1399814, -104.82024,Coccinella transversoguttata,Note,2012
59.810001373291016, -111.9800033569336,Coccinella transversoguttata,Note,2012
59.811, -111.989,Coccinella transversoguttata,Note,2012
59.81, -111.98,Coccinella transversoguttata,Note,2012
49.13999938964844, -107.52999877929688,Coccinella transversoguttata,Note,2012
49.14, -107.53,Coccinella transversoguttata,Note,2012
49.149, -107.53,Coccinella transversoguttata,Note,2012
37.607617, -104.962076,Coccinella transversoguttata,Note,2012
37.378922, -107.5902,Coccinella transversoguttata,Note,2012
47.44, -114.17305,Coccinella transversoguttata,Note,2012
46.1258883, -112.94509,Coccinella transversoguttata,Note,2012
46.42, -112.13,Coccinella transversoguttata,Note,2012
46.13015, -112.9737,Coccinella transversoguttata,Note,2012
42.719722747802734, -103.13543701171876,Coccinella transversoguttata,Note,2012
46.125335, -112.96037,Coccinella transversoguttata,Note,2012
42.224867, -121.78167,Coccinella transversoguttata,Note,2012
38.5423297612, -106.9119689672,Coccinella transversoguttata,Note,2013
50.66, -120.5,Coccinella transversoguttata,Note,2013
37.6786918, -106.35256,Coccinella transversoguttata,Note,2013
50.663, -120.504,Coccinella transversoguttata,Note,2013
50.658, -120.528,Coccinella transversoguttata,Note,2013
50.643, -120.517,Coccinella transversoguttata,Note,2013
46.9551696, -112.67513,Coccinella transversoguttata,Note,2013
50.64, -120.51,Coccinella transversoguttata,Note,2013
46.1304206, -112.95333,Coccinella transversoguttata,Note,2013
36.4115982, -105.57424,Coccinella transversoguttata,Note,2013
50.65, -120.52,Coccinella transversoguttata,Note,2013
35.56, -106.13,Coccinella transversoguttata,Note,2013
38.1362991, -105.44464,Coccinella transversoguttata,Note,2013
38.1360282, -105.46707,Coccinella transversoguttata,Note,2013
39.5332489, -107.7833,Coccinella transversoguttata,Note,2013
40.47031, -106.82893,Coccinella transversoguttata,Note,2013
42.2238807, -121.78205,Coccinella transversoguttata,Note,2013
50.65999984741211, -120.5,Coccinella transversoguttata,Note,2013
37.6271, -118.8151,Coccinella transversoguttata,Note,2013
50.63999938964844, -120.51000213623048,Coccinella transversoguttata,Note,2013
50.650001525878906, -120.5199966430664,Coccinella transversoguttata,Note,2013
43.0246696, -108.38131,Coccinella transversoguttata,Note,2013
41.2674789, -110.96396,Coccinella transversoguttata,Note,2013
42.4150581, -105.36779,Coccinella transversoguttata,Note,2013
37.6141, -118.8356,Coccinella transversoguttata,Note,2013
50.792, -120.436,Coccinella transversoguttata,Note,2013
44.84, -85.71,Coccinella transversoguttata,Note,2013
44.77219, -85.403938,Coccinella transversoguttata,Note,2013
44.4236907, -111.37107,Coccinella transversoguttata,Note,2013
43.6437, -116.4191,Coccinella transversoguttata,Note,2014
43.3126, -114.0666,Coccinella transversoguttata,Note,2014
43.611, -116.39222,Coccinella transversoguttata,Note,2014
