Unnamed: 0.1,Source,Year,Species,Latitude,Longitude,public_positional_accuracy,State,gps
141191,I-naturalist,2021,Adalia bipunctata,30.591053009,-98.2330551147,13.0,Texas,"(30.591053009, -98.2330551147)"
143445,I-naturalist,2021,Adalia bipunctata,42.3865805556,-71.1081388889,14.0,Massachusetts,"(42.3865805556, -71.1081388889)"
143468,I-naturalist,2021,Adalia bipunctata,42.355611,-71.1493219722,0.0,Massachusetts,"(42.355611, -71.1493219722)"
143567,I-naturalist,2021,Adalia bipunctata,42.3864927444,-71.1083627846,1.0,Massachusetts,"(42.3864927444, -71.1083627846)"
143636,I-naturalist,2021,Adalia bipunctata,42.418155,-71.0495083333,4.0,Massachusetts,"(42.418155, -71.0495083333)"
143737,I-naturalist,2021,Adalia bipunctata,42.3833068652,-71.0980094528,10.0,Massachusetts,"(42.3833068652, -71.0980094528)"
143952,I-naturalist,2021,Adalia bipunctata,42.3984633333,-71.0863278333,32.0,Massachusetts,"(42.3984633333, -71.0863278333)"
144036,I-naturalist,2021,Adalia bipunctata,42.4341592194,-71.0661033043,89.0,Massachusetts,"(42.4341592194, -71.0661033043)"
144566,I-naturalist,2021,Adalia bipunctata,40.75069253,-111.88354072,9.0,Utah,"(40.75069253, -111.88354072)"
144595,I-naturalist,2021,Adalia bipunctata,40.6014777778,-111.8886583333,0.0,Utah,"(40.6014777778, -111.8886583333)"
144616,I-naturalist,2021,Adalia bipunctata,40.7368967403,-111.8405342382,10.0,Utah,"(40.7368967403, -111.8405342382)"
144634,I-naturalist,2021,Adalia bipunctata,40.787075,-111.919495,4.0,Utah,"(40.787075, -111.919495)"
144642,Bugguide.net,2021,Adalia bipunctata,41.614943,-122.502816,0.0,California,"(41.614943, -122.502816)"
144686,I-naturalist,2021,Adalia bipunctata,40.75072154,-111.88353288,8.0,Utah,"(40.75072154, -111.88353288)"
144715,I-naturalist,2021,Adalia bipunctata,40.7219866667,-111.8689283333,4.0,Utah,"(40.7219866667, -111.8689283333)"
144726,I-naturalist,2021,Adalia bipunctata,40.2587361111,-109.8878861111,17.0,Utah,"(40.2587361111, -109.8878861111)"
