Unnamed: 0.1,Source,Year,Species,Latitude,Longitude,public_positional_accuracy,State,gps
144899,I-naturalist,2021,Coccinella transversoguttata,40.3665863696,-120.6185388651,226.0,California,"(40.3665863696, -120.6185388651)"
145346,I-naturalist,2021,Coccinella transversoguttata,38.39123551,-111.589116725,0.0,Utah,"(38.39123551, -111.589116725)"
145532,I-naturalist,2021,Coccinella transversoguttata,40.9151083333,-110.793005,6.0,Utah,"(40.9151083333, -110.793005)"
145603,I-naturalist,2021,Coccinella transversoguttata,40.3985509722,-111.602389,0.0,Utah,"(40.3985509722, -111.602389)"
145646,I-naturalist,2021,Coccinella transversoguttata,41.895584943,-111.6457855034,4.0,Utah,"(41.895584943, -111.6457855034)"
145659,I-naturalist,2021,Coccinella transversoguttata,37.8438579245,-109.7812729609,3.0,Utah,"(37.8438579245, -109.7812729609)"
146347,I-naturalist,2021,Coccinella transversoguttata,38.6783133333,-119.9896,10.0,California,"(38.6783133333, -119.9896)"
147519,I-naturalist,2021,Coccinella transversoguttata,45.1304366667,-85.6147316667,0.0,Michigan,"(45.1304366667, -85.6147316667)"
147551,I-naturalist,2021,Coccinella transversoguttata,45.130385,-85.6146733333,0.0,Michigan,"(45.130385, -85.6146733333)"
148556,I-naturalist,2021,Coccinella transversoguttata,42.0152585833,-111.4163785833,0.0,Idaho,"(42.0152585833, -111.4163785833)"
148593,I-naturalist,2021,Coccinella transversoguttata,43.0120516667,-116.1111766667,0.0,Idaho,"(43.0120516667, -116.1111766667)"
148602,I-naturalist,2021,Coccinella transversoguttata,44.32233,-111.4605416667,3.0,Idaho,"(44.32233, -111.4605416667)"
148612,I-naturalist,2021,Coccinella transversoguttata,42.51423,-111.80066,0.0,Idaho,"(42.51423, -111.80066)"
148651,I-naturalist,2021,Coccinella transversoguttata,44.6463466667,-111.3399883333,6.0,Idaho,"(44.6463466667, -111.3399883333)"
148728,I-naturalist,2021,Coccinella transversoguttata,37.7328263669,-105.5142435971,2.0,Colorado,"(37.7328263669, -105.5142435971)"
148729,I-naturalist,2021,Coccinella transversoguttata,37.733714481,-105.5137876216,8.0,Colorado,"(37.733714481, -105.5137876216)"
148740,I-naturalist,2021,Coccinella transversoguttata,37.7397987229,-105.5222548821,4.0,Colorado,"(37.7397987229, -105.5222548821)"
148754,I-naturalist,2021,Coccinella transversoguttata,40.1024247329,-105.2783354029,218.0,Colorado,"(40.1024247329, -105.2783354029)"
148768,I-naturalist,2021,Coccinella transversoguttata,40.0669468264,-105.2499277762,31.0,Colorado,"(40.0669468264, -105.2499277762)"
148800,I-naturalist,2021,Coccinella transversoguttata,40.0134070178,-105.2456029469,15.0,Colorado,"(40.0134070178, -105.2456029469)"
148943,I-naturalist,2021,Coccinella transversoguttata,43.643770474,-111.1111391802,5.0,Idaho,"(43.643770474, -111.1111391802)"
148950,I-naturalist,2021,Coccinella transversoguttata,37.8300216667,-106.2180783333,5.0,Colorado,"(37.8300216667, -106.2180783333)"
148954,I-naturalist,2021,Coccinella transversoguttata,40.1491784354,-105.3829685854,158.0,Colorado,"(40.1491784354, -105.3829685854)"
148984,I-naturalist,2021,Coccinella transversoguttata,40.1547254807,-105.888847633,9.0,Colorado,"(40.1547254807, -105.888847633)"
148990,I-naturalist,2021,Coccinella transversoguttata,40.7877001712,-106.4379683135,173.0,Colorado,"(40.7877001712, -106.4379683135)"
149029,I-naturalist,2021,Coccinella transversoguttata,40.0335883257,-105.2762902989,145.0,Colorado,"(40.0335883257, -105.2762902989)"
149062,I-naturalist,2021,Coccinella transversoguttata,37.4387868,-105.8030248,203.0,Colorado,"(37.4387868, -105.8030248)"
