Unnamed: 0.1,Source,Year,Species,Latitude,Longitude,public_positional_accuracy,State,gps
140539,I-naturalist,2021,Hippodamia parenthesis,44.3641888889,-72.288175,0.0,Vermont,"(44.3641888889, -72.288175)"
140668,I-naturalist,2021,Hippodamia parenthesis,44.3128282067,-72.4205587933,0.0,Vermont,"(44.3128282067, -72.4205587933)"
140719,I-naturalist,2021,Hippodamia parenthesis,43.9530055556,-72.8200222222,4.0,Vermont,"(43.9530055556, -72.8200222222)"
140750,I-naturalist,2021,Hippodamia parenthesis,43.6415845,-72.39862098,7.0,Vermont,"(43.6415845, -72.39862098)"
140812,I-naturalist,2021,Hippodamia parenthesis,44.49862,-73.24662,4.0,Vermont,"(44.49862, -73.24662)"
140824,I-naturalist,2021,Hippodamia parenthesis,44.8659632635,-73.3023939282,12.0,Vermont,"(44.8659632635, -73.3023939282)"
140898,I-naturalist,2021,Hippodamia parenthesis,43.2667174133,-73.1079022539,26.0,Vermont,"(43.2667174133, -73.1079022539)"
141035,I-naturalist,2021,Hippodamia parenthesis,43.556923,-72.89477,96.0,Vermont,"(43.556923, -72.89477)"
142552,I-naturalist,2021,Hippodamia parenthesis,44.82097628,-73.09338452,4.0,Vermont,"(44.82097628, -73.09338452)"
142591,I-naturalist,2021,Hippodamia parenthesis,44.2425194444,-72.5489527778,0.0,Vermont,"(44.2425194444, -72.5489527778)"
142599,I-naturalist,2021,Hippodamia parenthesis,44.2999640494,-72.5627070987,31.0,Vermont,"(44.2999640494, -72.5627070987)"
143286,I-naturalist,2021,Hippodamia parenthesis,44.3129216667,-72.4207216667,12.0,Vermont,"(44.3129216667, -72.4207216667)"
143342,I-naturalist,2021,Hippodamia parenthesis,42.6819287741,-82.9298945547,23.0,Michigan,"(42.6819287741, -82.9298945547)"
143520,I-naturalist,2021,Hippodamia parenthesis,42.529795,-71.3637133333,0.0,Massachusetts,"(42.529795, -71.3637133333)"
143902,I-naturalist,2021,Hippodamia parenthesis,43.6955680265,-86.5119436691,99.0,Michigan,"(43.6955680265, -86.5119436691)"
144396,I-naturalist,2021,Hippodamia parenthesis,42.5197,-71.3251866667,0.0,Massachusetts,"(42.5197, -71.3251866667)"
144666,Bugguide.net,2021,Hippodamia parenthesis,37.853807,-118.961375,0.0,California,"(37.853807, -118.961375)"
145250,Bugguide.net,2021,Hippodamia parenthesis,42.635475,-70.970827,0.0,Massachusetts,"(42.635475, -70.970827)"
145334,I-naturalist,2021,Hippodamia parenthesis,43.2488095688,-85.6266525015,202.0,Michigan,"(43.2488095688, -85.6266525015)"
145563,I-naturalist,2021,Hippodamia parenthesis,42.5189577881,-83.0046091568,2.0,Michigan,"(42.5189577881, -83.0046091568)"
146427,I-naturalist,2021,Hippodamia parenthesis,43.6325333333,-72.5090716667,5.0,Vermont,"(43.6325333333, -72.5090716667)"
146428,I-naturalist,2021,Hippodamia parenthesis,43.6352666667,-72.5062783333,6.0,Vermont,"(43.6352666667, -72.5062783333)"
146430,I-naturalist,2021,Hippodamia parenthesis,43.6358033333,-72.50553,4.0,Vermont,"(43.6358033333, -72.50553)"
146431,I-naturalist,2021,Hippodamia parenthesis,43.6357833333,-72.5055166667,6.0,Vermont,"(43.6357833333, -72.5055166667)"
146432,I-naturalist,2021,Hippodamia parenthesis,43.635825,-72.5055083333,4.0,Vermont,"(43.635825, -72.5055083333)"
146434,I-naturalist,2021,Hippodamia parenthesis,43.6358033333,-72.5055166667,4.0,Vermont,"(43.6358033333, -72.5055166667)"
146447,I-naturalist,2021,Hippodamia parenthesis,43.7106696502,-72.3056853754,5.0,Vermont,"(43.7106696502, -72.3056853754)"
146480,I-naturalist,2021,Hippodamia parenthesis,44.3798,-72.9446972222,0.0,Vermont,"(44.3798, -72.9446972222)"
146576,I-naturalist,2021,Hippodamia parenthesis,44.4711239946,-73.1941439908,9.0,Vermont,"(44.4711239946, -73.1941439908)"
146600,I-naturalist,2021,Hippodamia parenthesis,43.49878,-72.5340716667,12.0,Vermont,"(43.49878, -72.5340716667)"
146603,I-naturalist,2021,Hippodamia parenthesis,43.7199633333,-72.3296883333,25.0,Vermont,"(43.7199633333, -72.3296883333)"
146604,I-naturalist,2021,Hippodamia parenthesis,43.7187116667,-72.3281783333,4.0,Vermont,"(43.7187116667, -72.3281783333)"
146605,I-naturalist,2021,Hippodamia parenthesis,43.7187383333,-72.3281866667,4.0,Vermont,"(43.7187383333, -72.3281866667)"
146614,I-naturalist,2021,Hippodamia parenthesis,43.7103877136,-72.3055797293,22.0,Vermont,"(43.7103877136, -72.3055797293)"
146691,I-naturalist,2021,Hippodamia parenthesis,44.49208,-73.240355,175.0,Vermont,"(44.49208, -73.240355)"
147135,I-naturalist,2021,Hippodamia parenthesis,42.4550372697,-71.083552514,52.0,Massachusetts,"(42.4550372697, -71.083552514)"
147415,I-naturalist,2021,Hippodamia parenthesis,43.217296565,-85.5391485606,6.0,Michigan,"(43.217296565, -85.5391485606)"
147507,I-naturalist,2021,Hippodamia parenthesis,45.8407991426,-86.6721142922,3.0,Michigan,"(45.8407991426, -86.6721142922)"
148150,I-naturalist,2021,Hippodamia parenthesis,42.5643559476,-71.1792484476,22.0,Massachusetts,"(42.5643559476, -71.1792484476)"
148902,I-naturalist,2021,Hippodamia parenthesis,38.729155,-104.83288,0.0,Colorado,"(38.729155, -104.83288)"
149731,I-naturalist,2021,Hippodamia parenthesis,39.5422338768,-105.0113038193,27.0,Colorado,"(39.5422338768, -105.0113038193)"
149780,I-naturalist,2021,Hippodamia parenthesis,39.0198778333,-104.2711033333,8.0,Colorado,"(39.0198778333, -104.2711033333)"
149867,I-naturalist,2021,Hippodamia parenthesis,38.8732135997,-106.9804895,0.0,Colorado,"(38.8732135997, -106.9804895)"
149978,I-naturalist,2021,Hippodamia parenthesis,43.2966633333,-89.3807,7.0,Wisconsin,"(43.2966633333, -89.3807)"
149982,I-naturalist,2021,Hippodamia parenthesis,44.8805732727,-92.6276550293,65.0,Wisconsin,"(44.8805732727, -92.6276550293)"
150245,I-naturalist,2021,Hippodamia parenthesis,41.8927032117,-89.3513232567,0.0,Illinois,"(41.8927032117, -89.3513232567)"
150709,I-naturalist,2021,Hippodamia parenthesis,40.0723740639,-88.2584977519,30.0,Illinois,"(40.0723740639, -88.2584977519)"
150804,I-naturalist,2021,Hippodamia parenthesis,44.8642969039,-110.1691910439,30.0,Wyoming,"(44.8642969039, -110.1691910439)"
151046,I-naturalist,2021,Hippodamia parenthesis,40.78436525,-89.5750317222,0.0,Illinois,"(40.78436525, -89.5750317222)"
153998,I-naturalist,2021,Hippodamia parenthesis,41.7689838051,-72.1855059214,57.0,Connecticut,"(41.7689838051, -72.1855059214)"
155163,I-naturalist,2021,Hippodamia parenthesis,39.0637922,-78.0652661,259.0,Virginia,"(39.0637922, -78.0652661)"
155186,I-naturalist,2021,Hippodamia parenthesis,36.6695685818,-81.6064512476,4.0,Virginia,"(36.6695685818, -81.6064512476)"
155189,I-naturalist,2021,Hippodamia parenthesis,38.965017,-77.8550299722,0.0,Virginia,"(38.965017, -77.8550299722)"
155290,I-naturalist,2021,Hippodamia parenthesis,38.9646019722,-77.8535339722,0.0,Virginia,"(38.9646019722, -77.8535339722)"
155626,I-naturalist,2021,Hippodamia parenthesis,38.962592,-77.8568829722,0.0,Virginia,"(38.962592, -77.8568829722)"
156117,I-naturalist,2021,Hippodamia parenthesis,39.4324975024,-76.6060533375,101.0,Maryland,"(39.4324975024, -76.6060533375)"
157252,I-naturalist,2021,Hippodamia parenthesis,46.1815922649,-121.4834086227,455.0,Washington,"(46.1815922649, -121.4834086227)"
157393,I-naturalist,2021,Hippodamia parenthesis,48.4984664917,-120.761756897,59.0,Washington,"(48.4984664917, -120.761756897)"
157396,I-naturalist,2021,Hippodamia parenthesis,41.6650287869,-91.5844664329,15.0,Iowa,"(41.6650287869, -91.5844664329)"
