state,frequency
Manitoba,9
North Carolina,3
California,14
South Dakota,10
Michigan,14
New Hampshire,10
Oregon,1
Kentucky,3
Kansas,4
New Mexico,20
Colorado,59
Alberta,47
New York,21
Ontario,30
Maine,3
Idaho,1
Iowa,13
Quebec,7
Minnesota,33
Montana,27
Ohio,15
Arizona,4
Wyoming,3
Pennsylvania,13
Nebraska,14
Saskatchewan,16
Rhode Island,1
Connecticut,1
North Dakota,3
British Columbia,11
Vermont,19
Washington,5
Missouri,2
Massachusetts,22
Nevada,2
Illinois,10
Virginia,2
South Carolina,1
Wisconsin,4
Indiana,1
Maryland,1
