unique_values,counts
California,236
Texas,162
Virginia,81
North Carolina,79
New York,71
Florida,70
Missouri,68
Illinois,68
Ohio,65
Nevada,65
Arizona,65
Maryland,64
Arkansas,62
Vermont,60
Delaware,59
Tennessee,58
Wisconsin,57
Alabama,57
Georgia,56
Idaho,55
Massachusetts,54
Pennsylvania,53
Michigan,52
Kansas,52
New Mexico,52
Oklahoma,50
North Dakota,50
Ontario,50
Oregon,49
Kentucky,49
New Jersey,47
British Columbia,46
Washington,45
South Carolina,45
Montana,44
Minnesota,42
Mississippi,41
South Dakota,40
Maine,39
Indiana,39
Washington D.C.,38
Louisiana,38
Utah,38
Nebraska,38
Colorado,35
West Virginia,35
Manitoba,34
Iowa,33
Connecticut,32
Wyoming,32
New Hampshire,27
Saskatchewan,21
Rhode Island,20
Alberta,17
Quebec,17
