,name,shap_index
0,Harmonia_axyridis_18,0.9923843513965607
1,Lanius_borealis_18,0.7784759902477264
2,Coccinella_septempunctata_18,0.4885758054971695
3,Cinclus_mexicanus_18,0.47194367730617526
4,Coelophora_maculata_18,0.46163195836395027
6,Eremophila_alpestris_18,0.38600571616888046
5,Cycloneda_polita_18,0.377463352060318
7,Hippodamia_convergens_18,0.3205904516339302
8,Anatis_mali_18,0.22292648102790116
10,Hippodamia_variegata_18,0.20561711140275002
9,Hippodamia_tredecimpunctata_18,0.1921376629307866
11,Calvia_quatuordecimguttata_18,0.12790673741325737
13,Mulsantina_picta_18,0.12297109621539712
12,Anatis_lecontei_18,0.10735975331962108
14,Centronyx_henslowii_18,0.08655568861961364
