,name,shap_index
0,Harmonia_axyridis_18,0.8522700047492981
1,Coccinella_septempunctata_18,0.6363712274074554
2,Lanius_borealis_18,0.5614378156900406
3,Hippodamia_variegata_18,0.2963177973628044
4,Eremophila_alpestris_18,0.25080812508761885
6,Brachiacantha_ursina_18,0.21895862022340298
5,Anisosticta_bitriangularis_18,0.21833209086805583
9,Calcarius_lapponicus_18,0.1793564811617136
7,Coccinella_novemnotata_18,0.17484138543903827
8,Coccinella_transversoguttata_18,0.16012528035715223
10,Cycloneda_polita_18,0.1574519394852221
11,Coccinella_trifasciata_18,0.12318179752752186
12,Anatis_mali_18,0.11412155793532729
13,Mulsantina_picta_18,0.029379161766543985
14,Calvia_quatuordecimguttata_18,0.02920016407892108
