,name,shap_index
8,Harmonia_axyridis_18,0.764480943441391
16,Coccinella_septempunctata_18,0.6064990384976069
10,Coccinella_transversoguttata_18,0.5977076654434204
1,Hippodamia_parenthesis_18,0.38129556906595824
6,Lanius_ludovicianus_18,0.36264416564504304
15,Hippodamia_convergens_18,0.3547339330663284
11,Eremophila_alpestris_18,0.3392390181819598
3,Coelophora_maculata_18,0.21087135313202937
4,Calcarius_lapponicus_18,0.19677517671634753
12,Cinclus_mexicanus_18,0.1572534607661267
13,Chilocorus_stigma_18,0.05936855258358022
7,Hippodamia_caseyi_18,0.05221361185361942
17,Peucedramus_taeniatus_18,0.008732637689759334
14,Hyperaspis_quadrioculata_18,0.008025080669671296
2,Hippodamia_apicalis_18,0.007318610835820437
5,Paranaemia_vittigera_18,0.004798714375744264
9,Coccinella_monticola_18,0.0013561295814191303
0,Hyperaspis_undulata_18,0.0
