latitude,longitude,scientificname,occurrenceRemarks,Year
43.532, -86.114,Hippodamia parenthesis,Note,2009
42.1887721, -120.34579,Hippodamia parenthesis,Note,2009
33.526, -105.439,Hippodamia parenthesis,Note,2009
42.45551, -71.906877,Hippodamia parenthesis,Note,2009
35.588826, -106.007134,Hippodamia parenthesis,Note,2012
35.930555999103184, -106.498889,Hippodamia parenthesis,Note,2012
35.93055725097656, -106.49888610839844,Hippodamia parenthesis,Note,2012
47.680278, -92.878333,Hippodamia parenthesis,Note,2013
35.953609466552734, -106.44833374023438,Hippodamia parenthesis,Note,2013
35.907501220703125, -106.42444610595705,Hippodamia parenthesis,Note,2013
35.90305709838867, -106.42388916015624,Hippodamia parenthesis,Note,2013
35.90305599910346, -106.423889,Hippodamia parenthesis,Note,2013
35.907499999103415, -106.424444,Hippodamia parenthesis,Note,2013
35.95361099910295, -106.44833300000002,Hippodamia parenthesis,Note,2013
34.2313194, -111.32466,Hippodamia parenthesis,Note,2013
37.137877, -82.814908,Hippodamia parenthesis,Note,2014
47.63, -92.863333,Hippodamia parenthesis,Note,2014
35.923057556152344, -106.50055694580078,Hippodamia parenthesis,Note,2014
35.923055999103255, -106.500556,Hippodamia parenthesis,Note,2014
42.9194, -71.4065,Hippodamia parenthesis,Note,2014
42.4169966667, -103.7582466667,Hippodamia parenthesis,Note,2015
40.612365, -120.720234,Hippodamia parenthesis,Note,2015
33.6458166667, -116.59693,Hippodamia parenthesis,Note,2015
37.3474617, -108.29113,Hippodamia parenthesis,Note,2015
40.7156427869, -93.7643243153,Hippodamia parenthesis,Note,2015
41.172451, -71.557807,Hippodamia parenthesis,Note,2016
36.837209, -108.000093,Hippodamia parenthesis,Note,2016
43.78692, -99.33918,Hippodamia parenthesis,Note,2017
39.5722, -82.0423,Hippodamia parenthesis,Note,2018
39.7054966667, -104.99862,Hippodamia parenthesis,Note,2018
37.76627, -118.7039716667,Hippodamia parenthesis,Note,2018
35.588826, -106.007134,Hippodamia parenthesis,Note,2019
42.432082, -103.79284,Hippodamia parenthesis,Note,2019
42.6691423, -103.46469292,Hippodamia parenthesis,Note,2019
42.66519695, -103.46078624,Hippodamia parenthesis,Note,2019
44.9117433006, -110.3276420832,Hippodamia parenthesis,Note,2019
47.0563053341, -79.7787161365,Hippodamia parenthesis,Note,2020
51.2173694444, -123.1841833333,Hippodamia parenthesis,Note,2020
51.2075277778, -123.2888861111,Hippodamia parenthesis,Note,2020
51.4191416667, -122.2783083333,Hippodamia parenthesis,Note,2020
40.4614972222, -94.783675,Hippodamia parenthesis,Note,2020
43.0005135107, -71.4570647323,Hippodamia parenthesis,Note,2020
43.9530055556, -72.8200222222,Hippodamia parenthesis,Note,2021
43.2667174133, -73.1079022539,Hippodamia parenthesis,Note,2021
44.8642969039, -110.1691910439,Hippodamia parenthesis,Note,2021
36.6695685818, -81.6064512476,Hippodamia parenthesis,Note,2021
40.8230379722, -93.720465,Hippodamia parenthesis,Note,2021
44.4176216667, -70.8137066667,Hippodamia parenthesis,Note,2021
50.8022313864, -115.3679546714,Hippodamia parenthesis,Note,2021
45.78398, -75.0989916667,Hippodamia parenthesis,Note,2021
53.6015116, -106.516698,Hippodamia parenthesis,Note,2021
50.9339199326, -115.7176792511,Hippodamia parenthesis,Note,2021
40.1828512869, -116.8960129225,Hippodamia parenthesis,Note,2021
49.7443738825, -118.936390878,Hippodamia parenthesis,Note,2021
42.4486111, -71.877777,Hippodamia parenthesis,Note,2010
51.0452194, -114.06301,Hippodamia parenthesis,Note,2013
50.9083892458, -114.0180323853,Hippodamia parenthesis,Note,2020
50.9099989804, -114.0589247518,Hippodamia parenthesis,Note,2020
51.0425305556, -114.0317722222,Hippodamia parenthesis,Note,2021
50.94, -113.99,Hippodamia parenthesis,Note,2015
50.93999862670898, -113.98999786376952,Hippodamia parenthesis,Note,2015
50.941, -113.991,Hippodamia parenthesis,Note,2015
50.9156197018, -113.9718161507,Hippodamia parenthesis,Note,2020
50.97468278, -114.03089171,Hippodamia parenthesis,Note,2020
50.915575805, -113.9719362142,Hippodamia parenthesis,Note,2020
50.9911966667, -114.144815,Hippodamia parenthesis,Note,2021
52.258793711, -113.7883910537,Hippodamia parenthesis,Note,2020
51.1055548949, -114.1236425841,Hippodamia parenthesis,Note,2021
45.87021, -82.54186,Hippodamia parenthesis,Note,2010
45.870208740234375, -82.54186248779297,Hippodamia parenthesis,Note,2010
47.2862, -92.62926,Hippodamia parenthesis,Note,2015
43.85315, -101.203895,Hippodamia parenthesis,Note,2017
47.2862067514, -92.6263531909,Hippodamia parenthesis,Note,2020
47.2865815618, -92.6259101724,Hippodamia parenthesis,Note,2020
50.7322006, -113.97,Hippodamia parenthesis,Note,2014
51.1382432002, -114.1675062105,Hippodamia parenthesis,Note,2020
51.13170876, -114.25130603,Hippodamia parenthesis,Note,2020
40.3062095, -105.07916,Hippodamia parenthesis,Note,2014
48.3380393, -70.883453,Hippodamia parenthesis,Note,2012
37.7127, -118.7862,Hippodamia parenthesis,Note,2013
43.7693901, -103.60193,Hippodamia parenthesis,Note,2014
39.726287, -104.965486,Hippodamia parenthesis,Note,2015
32.668858, -109.87756,Hippodamia parenthesis,Note,2018
41.137485453, -78.7152114139,Hippodamia parenthesis,Note,2020
41.9514742938, -71.8429738283,Hippodamia parenthesis,Note,2020
46.1815922649, -121.4834086227,Hippodamia parenthesis,Note,2021
36.1962945066, -105.2243145982,Hippodamia parenthesis,Note,2021
37.9521666667, -118.4511866667,Hippodamia parenthesis,Note,2021
39.65678, -104.9141166667,Hippodamia parenthesis,Note,2018
38.8732135997, -106.9804895,Hippodamia parenthesis,Note,2021
44.5840707039, -104.7095077816,Hippodamia parenthesis,Note,2018
49.75518, -106.76117,Hippodamia parenthesis,Note,2019
43.0642390101, -73.1165732593,Hippodamia parenthesis,Note,2020
43.0720305, -73.1129486,Hippodamia parenthesis,Note,2020
46.52779667, -121.34493333,Hippodamia parenthesis,Note,2020
36.26871167, -106.92585,Hippodamia parenthesis,Note,2020
40.42313, -81.2441716667,Hippodamia parenthesis,Note,2021
48.1139944444, -96.1536666667,Hippodamia parenthesis,Note,2021
35.2400472222, -107.660775,Hippodamia parenthesis,Note,2021
40.058094, -105.195154,Hippodamia parenthesis,Note,2017
46.2966283333, -93.8230366667,Hippodamia parenthesis,Note,2017
48.4984664917, -120.761756897,Hippodamia parenthesis,Note,2021
55.15, -118.81,Hippodamia parenthesis,Note,2014
44.9624012523, -85.6585381957,Hippodamia parenthesis,Note,2020
39.9205411, -105.08665,Hippodamia parenthesis,Note,2009
40.0149856, -105.27054,Hippodamia parenthesis,Note,2009
39.9407055184, -105.2644729614,Hippodamia parenthesis,Note,2017
39.9831366667, -105.2400133333,Hippodamia parenthesis,Note,2018
39.98323, -105.24012,Hippodamia parenthesis,Note,2018
39.9856133333, -105.240555,Hippodamia parenthesis,Note,2018
39.9639283333, -105.2362883333,Hippodamia parenthesis,Note,2018
39.9832, -105.2399883333,Hippodamia parenthesis,Note,2019
39.9970333333, -105.2953333333,Hippodamia parenthesis,Note,2019
39.9838216667, -105.2425166667,Hippodamia parenthesis,Note,2019
39.9839033333, -105.2430333333,Hippodamia parenthesis,Note,2019
49.77, -100.63,Hippodamia parenthesis,Note,2015
49.77000045776367, -100.62999725341795,Hippodamia parenthesis,Note,2015
52.20152, -107.2843183333,Hippodamia parenthesis,Note,2020
43.6365693, -113.30028,Hippodamia parenthesis,Note,2012
40.516476758, -109.5965526626,Hippodamia parenthesis,Note,2019
40.5237806752, -107.5640822438,Hippodamia parenthesis,Note,2019
40.5239040897, -107.5643180098,Hippodamia parenthesis,Note,2019
49.1520361111, -120.7662722222,Hippodamia parenthesis,Note,2020
49.06183617, -120.82567,Hippodamia parenthesis,Note,2020
49.8057969722, -99.640218,Hippodamia parenthesis,Note,2021
38.990020267, -93.5667738321,Hippodamia parenthesis,Note,2021
39.72716, -105.142196,Hippodamia parenthesis,Note,2011
39.7196489231, -105.1398038864,Hippodamia parenthesis,Note,2017
39.983005, -105.1340638333,Hippodamia parenthesis,Note,2019
50.0360852938, -110.7207301458,Hippodamia parenthesis,Note,2020
44.35, -76.89,Hippodamia parenthesis,Note,2011
44.34999847412109, -76.88999938964844,Hippodamia parenthesis,Note,2011
44.349, -76.895,Hippodamia parenthesis,Note,2011
39.8978436969, -105.3508686147,Hippodamia parenthesis,Note,2019
45.0479759101, -75.9226717166,Hippodamia parenthesis,Note,2020
45.0492368879, -75.923576653,Hippodamia parenthesis,Note,2020
50.1070149722, -123.2059349722,Hippodamia parenthesis,Note,2021
44.8805732727, -92.6276550293,Hippodamia parenthesis,Note,2021
42.99442, -77.37258833,Hippodamia parenthesis,Note,2021
43.8991383333, -77.0551916667,Hippodamia parenthesis,Note,2021
47.21882, -92.62096,Hippodamia parenthesis,Note,2015
47.18333, -92.60223,Hippodamia parenthesis,Note,2015
47.1779233759, -92.5420712477,Hippodamia parenthesis,Note,2020
40.9710716728, -105.0763320923,Hippodamia parenthesis,Note,2019
47.1482941491, -92.7688490279,Hippodamia parenthesis,Note,2021
39.6240882874, -104.8306274414,Hippodamia parenthesis,Note,2018
50.962520089, -106.4741925521,Hippodamia parenthesis,Note,2020
44.7858944444, -85.5666083333,Hippodamia parenthesis,Note,2020
49.110649, -119.674355,Hippodamia parenthesis,Note,2020
49.0142842957, -119.5893362523,Hippodamia parenthesis,Note,2020
49.004414965, -119.61431324,Hippodamia parenthesis,Note,2021
40.1672068, -105.10192,Hippodamia parenthesis,Note,2010
50.66, -99.97,Hippodamia parenthesis,Note,2008
50.65999984741211, -99.97000122070312,Hippodamia parenthesis,Note,2008
44.614035, -79.0595983333,Hippodamia parenthesis,Note,2018
